,month,day,hour,weekday,avg_hrly_press
0,10,29,22,1,102700.41
1,10,29,23,1,102699.33499999999
3,10,30,0,2,102700.42
5,10,30,1,2,102699.65
7,10,30,2,2,102666.795
9,10,30,3,2,102636.44
11,10,30,4,2,102639.01000000001
13,10,30,5,2,102649.11499999999
15,10,30,6,2,102654.465
17,10,30,7,2,102709.745
19,10,30,8,2,102756.31
21,10,30,9,2,102733.695
23,10,30,10,2,102716.36
25,10,30,11,2,102664.805
27,10,30,12,2,102592.965
29,10,30,13,2,102511.995
31,10,30,14,2,102494.33499999999
33,10,30,15,2,102462.345
35,10,30,16,2,102442.57
37,10,30,17,2,102411.92
39,10,30,18,2,102419.05
41,10,30,19,2,102355.065
43,10,30,20,2,102277.965
45,10,30,21,2,102203.9
47,10,30,22,2,102105.805
49,10,30,23,2,102033.72
51,10,31,0,3,101985.63
53,10,31,1,3,101915.695
55,10,31,2,3,101832.14499999999
57,10,31,3,3,101761.375
59,10,31,4,3,101749.04000000001
61,10,31,5,3,101708.695
63,10,31,6,3,101683.855
65,10,31,7,3,101639.91
67,10,31,8,3,101551.26999999999
69,10,31,9,3,101506.93
71,10,31,10,3,101420.57
73,10,31,11,3,101318.305
75,10,31,12,3,101227.16500000001
77,10,31,13,3,101138.795
79,10,31,14,3,101064.82500000001
81,10,31,15,3,100993.97
83,10,31,16,3,100920.65
85,10,31,17,3,100824.815
87,10,31,18,3,100794.56
89,10,31,19,3,100733.11499999999
91,10,31,20,3,100630.845
93,10,31,21,3,100520.255
95,10,31,22,3,100460.67
96,11,1,9,4,100928.93
98,11,1,10,4,101024.91500000001
100,11,1,11,4,101094.625
102,11,1,12,4,101145.92499999999
104,11,1,13,4,101248.495
106,11,1,14,4,101377.285
108,11,1,15,4,101534.01999999999
110,11,1,16,4,101703.775
112,11,1,17,4,101853.35
114,11,1,18,4,102001.73000000001
116,11,1,19,4,102104.33499999999
118,11,1,20,4,102165.475
120,11,1,21,4,102236.78
122,11,1,22,4,102249.845
124,11,1,23,4,102285.3
126,11,2,0,5,102304.20999999999
128,11,2,1,5,102306.695
130,11,2,2,5,102302.57500000001
132,11,2,3,5,102333.045
134,11,2,4,5,102380.075
136,11,2,5,5,102383.38500000001
138,11,2,6,5,102393.13
140,11,2,7,5,102424.13
142,11,2,8,5,102454.655
144,11,2,9,5,102442.08
146,11,2,10,5,102417.285
148,11,2,11,5,102298.485
150,11,2,12,5,102176.315
152,11,2,13,5,102071.97
154,11,2,14,5,101987.67
156,11,2,15,5,101923.08499999999
158,11,2,16,5,101887.45999999999
160,11,2,17,5,101874.905
162,11,2,18,5,101836.015
164,11,2,19,5,101779.295
166,11,2,20,5,101754.17
