,day,hour,month,weekday,avg_hrly_hum
0,23,8,10,2,51.349999999999994
2,23,9,10,2,51.0
4,23,10,10,2,50.55
6,23,11,10,2,50.5
8,23,12,10,2,50.45
10,23,13,10,2,50.4
12,23,14,10,2,49.900000000000006
14,23,15,10,2,49.2
16,23,16,10,2,47.2
18,23,17,10,2,45.7
20,23,18,10,2,45.4
22,23,19,10,2,43.45
24,23,20,10,2,42.0
26,23,21,10,2,42.0
28,23,22,10,2,41.9
30,23,23,10,2,41.55
32,24,0,10,3,40.95
34,24,1,10,3,40.1
36,24,2,10,3,39.6
38,24,3,10,3,39.55
40,24,4,10,3,39.4
42,24,5,10,3,39.150000000000006
44,24,6,10,3,38.25
46,24,7,10,3,37.650000000000006
48,24,8,10,3,40.1
50,24,9,10,3,40.8
52,24,10,10,3,40.95
54,24,11,10,3,40.849999999999994
56,24,12,10,3,40.75
58,24,13,10,3,41.0
60,24,14,10,3,45.900000000000006
62,24,15,10,3,45.0
64,24,16,10,3,45.9
66,24,17,10,3,44.9
68,24,18,10,3,42.900000000000006
70,24,19,10,3,41.349999999999994
72,24,20,10,3,43.5
73,29,22,10,1,54.2
74,29,23,10,1,62.25
76,30,0,10,2,65.15
78,30,1,10,2,62.2
80,30,2,10,2,63.150000000000006
82,30,3,10,2,64.35
84,30,4,10,2,65.4
86,30,5,10,2,56.5
88,30,6,10,2,55.400000000000006
90,30,7,10,2,55.45
92,30,8,10,2,55.5
94,30,9,10,2,57.150000000000006
96,30,10,10,2,55.95
98,30,11,10,2,58.25
100,30,12,10,2,59.45
102,30,13,10,2,60.7
104,30,14,10,2,58.1
106,30,15,10,2,57.45
108,30,16,10,2,56.5
110,30,17,10,2,55.75
112,30,18,10,2,57.7
114,30,19,10,2,58.35
116,30,20,10,2,58.75
118,30,21,10,2,59.0
120,30,22,10,2,56.5
122,30,23,10,2,54.65
124,31,0,10,3,58.8
126,31,1,10,3,59.55
128,31,2,10,3,60.0
130,31,3,10,3,60.45
132,31,4,10,3,60.5
134,31,5,10,3,60.5
136,31,6,10,3,60.45
138,31,7,10,3,60.4
140,31,8,10,3,60.4
142,31,9,10,3,61.099999999999994
144,31,10,10,3,61.900000000000006
146,31,11,10,3,62.349999999999994
148,31,12,10,3,62.150000000000006
150,31,13,10,3,61.7
152,31,14,10,3,60.9
154,31,15,10,3,60.55
156,31,16,10,3,60.4
158,31,17,10,3,60.150000000000006
160,31,18,10,3,59.849999999999994
162,31,19,10,3,59.8
164,31,20,10,3,59.7
166,31,21,10,3,59.75
168,31,22,10,3,60.65
170,31,23,10,3,61.6
172,1,0,11,4,61.9
174,1,1,11,4,62.45
176,1,2,11,4,62.8
178,1,3,11,4,62.9
180,1,4,11,4,62.9
182,1,5,11,4,62.55
184,1,6,11,4,61.599999999999994
186,1,7,11,4,56.4
188,1,8,11,4,49.25
190,1,9,11,4,49.05
192,1,10,11,4,46.95
194,1,11,11,4,43.9
196,1,12,11,4,47.55
198,1,13,11,4,43.85
200,1,14,11,4,39.55
202,1,15,11,4,39.95
204,1,16,11,4,38.6
206,1,17,11,4,37.25
208,1,18,11,4,37.349999999999994
210,1,19,11,4,35.849999999999994
212,1,20,11,4,36.0
214,1,21,11,4,36.0
216,1,22,11,4,36.1
218,1,23,11,4,34.650000000000006
220,2,0,11,5,34.9
222,2,1,11,5,35.0
224,2,2,11,5,35.1
226,2,3,11,5,35.05
228,2,4,11,5,34.8
230,2,5,11,5,34.7
232,2,6,11,5,33.5
234,2,7,11,5,33.4
236,2,8,11,5,32.45
238,2,9,11,5,33.3
240,2,10,11,5,33.7
242,2,11,11,5,35.400000000000006
244,2,12,11,5,36.95
246,2,13,11,5,37.95
248,2,14,11,5,37.75
250,2,15,11,5,40.15
252,2,16,11,5,44.55
254,2,17,11,5,40.5
256,2,18,11,5,37.2
258,2,19,11,5,38.05
260,2,20,11,5,36.25
262,2,21,11,5,38.099999999999994
264,2,22,11,5,38.25
266,2,23,11,5,36.8
268,3,0,11,6,36.9
269,3,9,11,6,44.1
270,3,10,11,6,43.5
272,3,11,11,6,39.75
274,3,12,11,6,39.099999999999994
276,3,13,11,6,39.9
278,3,14,11,6,39.75
280,3,15,11,6,38.3
282,3,16,11,6,37.150000000000006
284,3,17,11,6,39.35
286,3,18,11,6,43.5
288,3,19,11,6,41.400000000000006
290,3,20,11,6,45.2
292,3,21,11,6,41.4
294,3,22,11,6,34.75
296,3,23,11,6,34.55
298,4,0,11,0,33.8
300,4,1,11,0,33.7
302,4,2,11,0,33.55
304,4,3,11,0,33.25
306,4,4,11,0,32.35
308,4,5,11,0,32.2
310,4,6,11,0,33.25
312,4,7,11,0,32.6
314,4,8,11,0,36.2
316,4,9,11,0,37.5
318,4,10,11,0,37.7
320,4,11,11,0,37.150000000000006
322,4,12,11,0,36.45
324,4,13,11,0,37.4
326,4,14,11,0,37.4
328,4,15,11,0,36.1
330,4,16,11,0,39.2
332,4,17,11,0,39.55
334,4,18,11,0,39.7
336,4,19,11,0,37.45
338,4,20,11,0,39.0
340,4,21,11,0,37.45
342,4,22,11,0,36.849999999999994
344,4,23,11,0,36.95
346,5,0,11,1,36.6
348,5,1,11,1,34.95
350,5,2,11,1,35.0
352,5,3,11,1,35.7
354,5,4,11,1,36.2
356,5,5,11,1,36.7
358,5,6,11,1,38.650000000000006
360,5,7,11,1,37.95
362,5,8,11,1,41.5
364,5,9,11,1,43.2
366,5,10,11,1,44.2
368,5,11,11,1,44.8
370,5,12,11,1,45.05
372,5,13,11,1,45.349999999999994
374,5,14,11,1,44.3
376,5,15,11,1,44.1
378,5,16,11,1,43.8
380,5,17,11,1,43.85
382,5,18,11,1,52.5
384,5,19,11,1,47.0
386,5,20,11,1,43.35
388,5,21,11,1,43.849999999999994
390,5,22,11,1,40.75
392,5,23,11,1,42.25
394,6,0,11,2,41.7
396,6,1,11,2,40.2
398,6,2,11,2,39.5
400,6,3,11,2,39.45
402,6,4,11,2,38.35
404,6,5,11,2,37.55
406,6,6,11,2,36.45
408,6,7,11,2,35.8
410,6,8,11,2,37.05
412,6,9,11,2,37.7
414,6,10,11,2,37.849999999999994
416,6,11,11,2,37.7
418,6,12,11,2,38.45
420,6,13,11,2,36.5
422,6,14,11,2,36.650000000000006
424,6,15,11,2,36.849999999999994
426,6,16,11,2,37.3
428,6,17,11,2,37.05
430,6,18,11,2,37.45
432,6,19,11,2,37.55
434,6,20,11,2,31.799999999999997
436,6,21,11,2,43.900000000000006
438,6,22,11,2,41.55
440,6,23,11,2,39.0
442,7,0,11,3,39.9
444,7,1,11,3,39.849999999999994
446,7,2,11,3,39.0
448,7,3,11,3,38.5
450,7,4,11,3,36.05
452,7,5,11,3,42.95
454,7,6,11,3,43.0
456,7,7,11,3,42.8
458,7,8,11,3,44.599999999999994
460,7,9,11,3,36.3
462,7,10,11,3,35.4
464,7,11,11,3,33.75
466,7,12,11,3,33.75
468,7,13,11,3,33.650000000000006
470,7,14,11,3,33.4
472,7,15,11,3,33.1
474,7,16,11,3,32.05
476,7,17,11,3,33.3
478,7,18,11,3,32.3
480,7,19,11,3,34.3
482,7,20,11,3,36.4
484,7,21,11,3,38.5
486,7,22,11,3,37.0
488,7,23,11,3,36.8
490,8,0,11,4,36.95
492,8,1,11,4,37.4
494,8,2,11,4,36.75
496,8,3,11,4,37.6
498,8,4,11,4,39.4
500,8,5,11,4,39.650000000000006
502,8,6,11,4,38.55
504,8,7,11,4,38.55
506,8,8,11,4,38.3
508,8,9,11,4,36.75
510,8,10,11,4,36.95
512,8,11,11,4,36.8
514,8,12,11,4,35.7
516,8,13,11,4,35.0
518,8,14,11,4,35.45
520,8,15,11,4,35.8
522,8,16,11,4,36.45
524,8,17,11,4,37.7
526,8,18,11,4,37.900000000000006
528,8,19,11,4,39.7
530,8,20,11,4,42.65
532,8,21,11,4,43.7
534,8,22,11,4,44.6
536,8,23,11,4,44.95
538,9,0,11,5,45.2
540,9,1,11,5,44.849999999999994
542,9,2,11,5,44.25
544,9,3,11,5,43.95
546,9,4,11,5,43.7
548,9,5,11,5,48.25
550,9,6,11,5,49.1
552,9,7,11,5,45.75
554,9,8,11,5,42.2
556,9,9,11,5,43.75
558,9,10,11,5,41.0
560,9,11,11,5,41.599999999999994
562,9,12,11,5,41.75
564,9,13,11,5,39.95
566,9,14,11,5,39.5
568,9,15,11,5,39.25
570,9,16,11,5,37.6
572,9,17,11,5,37.35
574,9,18,11,5,35.7
576,9,19,11,5,35.7
578,9,20,11,5,38.400000000000006
580,9,21,11,5,37.25
582,9,22,11,5,38.4
584,9,23,11,5,37.75
586,10,0,11,6,37.4
588,10,1,11,6,36.6
590,10,2,11,6,36.75
592,10,3,11,6,36.9
594,10,4,11,6,37.3
596,10,5,11,6,37.3
598,10,6,11,6,37.5
600,10,7,11,6,34.65
602,10,8,11,6,31.9
603,11,12,11,0,33.1
604,11,13,11,0,32.8
606,11,14,11,0,30.7
608,11,15,11,0,29.45
610,11,16,11,0,30.0
612,11,17,11,0,30.85
614,11,18,11,0,29.05
616,11,19,11,0,32.1
618,11,20,11,0,33.0
620,11,21,11,0,32.5
622,11,22,11,0,31.3
624,11,23,11,0,28.15
626,12,0,11,1,29.8
628,12,1,11,1,31.0
630,12,2,11,1,29.1
632,12,3,11,1,28.9
634,12,4,11,1,28.6
636,12,5,11,1,29.35
638,12,6,11,1,28.25
640,12,7,11,1,29.7
642,12,8,11,1,35.6
644,12,9,11,1,34.2
646,12,10,11,1,34.2
648,12,11,11,1,33.55
650,12,12,11,1,32.9
652,12,13,11,1,29.6
654,12,14,11,1,25.4
656,12,15,11,1,21.6
658,12,16,11,1,21.799999999999997
660,12,17,11,1,19.8
662,12,18,11,1,19.65
664,12,19,11,1,19.6
666,12,20,11,1,19.15
668,12,21,11,1,18.7
670,12,22,11,1,18.4
672,12,23,11,1,18.6
674,13,0,11,2,18.45
676,13,1,11,2,18.1
678,13,2,11,2,17.9
680,13,3,11,2,17.6
682,13,4,11,2,17.5
684,13,5,11,2,17.3
686,13,6,11,2,17.1
688,13,7,11,2,17.35
690,13,8,11,2,17.299999999999997
692,13,9,11,2,16.85
694,13,10,11,2,16.75
696,13,11,11,2,17.1
698,13,12,11,2,19.5
700,13,13,11,2,18.5
702,13,14,11,2,17.450000000000003
704,13,15,11,2,17.5
706,13,16,11,2,17.25
708,13,17,11,2,17.4
710,13,18,11,2,17.6
712,13,19,11,2,17.6
714,13,20,11,2,17.7
716,13,21,11,2,18.15
718,13,22,11,2,18.4
720,13,23,11,2,18.3
722,14,0,11,3,18.450000000000003
724,14,1,11,3,18.299999999999997
726,14,2,11,3,18.3
728,14,3,11,3,17.9
730,14,4,11,3,18.1
732,14,5,11,3,18.1
734,14,6,11,3,18.1
736,14,7,11,3,18.6
738,14,8,11,3,19.1
740,14,9,11,3,25.450000000000003
742,14,10,11,3,32.2
744,14,11,11,3,29.200000000000003
746,14,12,11,3,30.9
748,14,13,11,3,29.3
750,14,14,11,3,28.450000000000003
752,14,15,11,3,25.6
754,14,16,11,3,25.950000000000003
756,14,17,11,3,25.200000000000003
758,14,18,11,3,24.9
760,14,19,11,3,24.9
762,14,20,11,3,29.85
764,14,21,11,3,27.65
766,14,22,11,3,29.55
768,14,23,11,3,27.6
770,15,0,11,4,25.5
772,15,1,11,4,27.15
774,15,2,11,4,23.65
776,15,3,11,4,25.25
778,15,4,11,4,23.25
780,15,5,11,4,25.8
782,15,6,11,4,26.1
784,15,7,11,4,26.65
786,15,8,11,4,26.6
788,15,9,11,4,28.65
790,15,10,11,4,32.55
792,15,11,11,4,32.849999999999994
794,15,12,11,4,36.0
796,15,13,11,4,37.2
798,15,14,11,4,36.1
800,15,15,11,4,34.6
801,16,9,11,5,17.325
805,16,10,11,5,16.875
809,16,11,11,5,16.425
813,16,12,11,5,16.225
817,16,13,11,5,15.775
821,16,14,11,5,15.649999999999999
825,16,15,11,5,15.924999999999999
829,16,16,11,5,22.25
833,16,17,11,5,29.674999999999997
837,16,18,11,5,20.325
841,16,19,11,5,19.525
