,month,day,hour,tot_motion_count
0,10,23,8,0.0
0,10,29,22,57.0
1080,10,29,23,26.0
4680,10,30,0,0.0
8280,10,30,1,0.0
11880,10,30,2,0.0
15480,10,30,3,0.0
19080,10,30,4,2.0
22680,10,30,5,0.0
26280,10,30,6,97.0
29880,10,30,7,14.0
33480,10,30,8,10.0
37080,10,30,9,84.0
40680,10,30,10,124.0
44280,10,30,11,66.0
47880,10,30,12,0.0
51480,10,30,13,0.0
55080,10,30,14,0.0
58680,10,30,15,0.0
62280,10,30,16,0.0
65880,10,30,17,0.0
69480,10,30,18,0.0
73080,10,30,19,0.0
76680,10,30,20,0.0
80280,10,30,21,36.0
83880,10,30,22,60.0
87480,10,30,23,0.0
91080,10,31,0,0.0
94680,10,31,1,14.0
98280,10,31,2,0.0
101880,10,31,3,0.0
105480,10,31,4,0.0
109080,10,31,5,0.0
112680,10,31,6,0.0
116280,10,31,7,0.0
119880,10,31,8,107.0
123480,10,31,9,17.0
127080,10,31,10,0.0
130680,10,31,11,0.0
134280,10,31,12,0.0
137880,10,31,13,0.0
141480,10,31,14,0.0
145080,10,31,15,0.0
148680,10,31,16,0.0
152280,10,31,17,0.0
155880,10,31,18,0.0
159480,10,31,19,0.0
163080,10,31,20,0.0
166680,10,31,21,52.0
170280,10,31,22,0.0
173880,10,31,23,5.0
177480,11,1,0,84.0
181080,11,1,1,4.0
184680,11,1,2,0.0
188280,11,1,3,0.0
191880,11,1,4,0.0
195480,11,1,5,0.0
199080,11,1,6,8.0
202680,11,1,7,0.0
206280,11,1,8,73.0
209880,11,1,9,166.0
213480,11,1,10,33.0
217080,11,1,11,0.0
220680,11,1,12,19.0
224280,11,1,13,57.0
227880,11,1,14,21.0
231480,11,1,15,3.0
235080,11,1,16,25.0
238680,11,1,17,0.0
242280,11,1,18,16.0
245880,11,1,19,42.0
249480,11,1,20,0.0
253080,11,1,21,72.0
256680,11,1,22,0.0
260280,11,1,23,48.0
263880,11,2,0,0.0
267480,11,2,1,0.0
271080,11,2,2,0.0
274680,11,2,3,0.0
278280,11,2,4,0.0
281880,11,2,5,0.0
285480,11,2,6,14.0
289080,11,2,7,129.0
292680,11,2,8,0.0
296280,11,2,9,150.0
299880,11,2,10,0.0
303480,11,2,11,0.0
307080,11,2,12,0.0
310680,11,2,13,0.0
314280,11,2,14,58.0
317880,11,2,15,58.0
321480,11,2,16,53.0
325080,11,2,17,37.0
328680,11,2,18,65.0
332280,11,2,19,0.0
335880,11,2,20,0.0
339480,11,2,21,70.0
343080,11,2,22,44.0
346680,11,2,23,41.0
350280,11,3,0,119.0
353880,11,3,1,51.0
0,11,3,9,90.0
1800,11,3,10,67.0
5400,11,3,11,72.0
9000,11,3,12,78.0
12600,11,3,13,0.0
16200,11,3,14,0.0
19800,11,3,15,48.0
23400,11,3,16,204.0
27000,11,3,17,73.0
30600,11,3,18,227.0
34200,11,3,19,213.0
37800,11,3,20,93.0
41400,11,3,21,17.0
45000,11,3,22,159.0
48600,11,3,23,0.0
52200,11,4,0,0.0
55800,11,4,1,9.0
59400,11,4,2,0.0
63000,11,4,3,0.0
66600,11,4,4,0.0
70200,11,4,5,0.0
73800,11,4,6,141.0
77400,11,4,7,52.0
81000,11,4,8,208.0
84600,11,4,9,0.0
88200,11,4,10,0.0
91800,11,4,11,0.0
95400,11,4,12,0.0
99000,11,4,13,0.0
102600,11,4,14,0.0
106200,11,4,15,0.0
109800,11,4,16,0.0
113400,11,4,17,0.0
117000,11,4,18,0.0
120600,11,4,19,0.0
124200,11,4,20,37.0
127800,11,4,21,3.0
131400,11,4,22,148.0
135000,11,4,23,0.0
138600,11,5,0,0.0
142200,11,5,1,0.0
145800,11,5,2,0.0
149400,11,5,3,0.0
153000,11,5,4,0.0
156600,11,5,5,0.0
160200,11,5,6,152.0
163800,11,5,7,99.0
167400,11,5,8,69.0
171000,11,5,9,0.0
174600,11,5,10,0.0
178200,11,5,11,0.0
181800,11,5,12,0.0
185400,11,5,13,0.0
189000,11,5,14,0.0
192600,11,5,15,0.0
196200,11,5,16,0.0
199800,11,5,17,0.0
203400,11,5,18,57.0
207000,11,5,19,6.0
210600,11,5,20,16.0
214200,11,5,21,56.0
217800,11,5,22,128.0
221400,11,5,23,12.0
225000,11,6,0,0.0
228600,11,6,1,0.0
232200,11,6,2,0.0
235800,11,6,3,0.0
239400,11,6,4,0.0
243000,11,6,5,0.0
246600,11,6,6,0.0
250200,11,6,7,21.0
253800,11,6,8,217.0
257400,11,6,9,73.0
261000,11,6,10,0.0
264600,11,6,11,0.0
268200,11,6,12,0.0
271800,11,6,13,0.0
275400,11,6,14,0.0
279000,11,6,15,0.0
282600,11,6,16,0.0
286200,11,6,17,0.0
289800,11,6,18,0.0
293400,11,6,19,0.0
297000,11,6,20,99.0
300600,11,6,21,105.0
2820,11,6,22,67.0
6420,11,6,23,111.0
10020,11,7,0,39.0
13620,11,7,1,0.0
17220,11,7,2,0.0
20820,11,7,3,74.0
24420,11,7,4,178.0
28020,11,7,5,181.0
31620,11,7,6,180.0
35220,11,7,7,216.0
38820,11,7,8,29.0
42420,11,7,9,32.0
46020,11,7,10,144.0
49620,11,7,11,0.0
53220,11,7,12,0.0
56820,11,7,13,9.0
60420,11,7,14,0.0
64020,11,7,15,0.0
67620,11,7,16,0.0
71220,11,7,17,10.0
74820,11,7,18,131.0
78420,11,7,19,132.0
82020,11,7,20,128.0
85620,11,7,21,0.0
89220,11,7,22,0.0
92820,11,7,23,0.0
96420,11,8,0,0.0
100020,11,8,1,0.0
103620,11,8,2,0.0
107220,11,8,3,0.0
110820,11,8,4,0.0
114420,11,8,5,0.0
118020,11,8,6,0.0
121620,11,8,7,0.0
125220,11,8,8,40.0
128820,11,8,9,52.0
132420,11,8,10,96.0
136020,11,8,11,0.0
139620,11,8,12,0.0
143220,11,8,13,0.0
146820,11,8,14,0.0
150420,11,8,15,0.0
154020,11,8,16,0.0
157620,11,8,17,0.0
161220,11,8,18,161.0
164820,11,8,19,154.0
168420,11,8,20,5.0
172020,11,8,21,0.0
175620,11,8,22,0.0
179220,11,8,23,0.0
182820,11,9,0,0.0
186420,11,9,1,0.0
190020,11,9,2,0.0
193620,11,9,3,0.0
197220,11,9,4,0.0
200820,11,9,5,0.0
204420,11,9,6,57.0
208020,11,9,7,22.0
211620,11,9,8,0.0
215220,11,9,9,106.0
218820,11,9,10,78.0
222420,11,9,11,12.0
226020,11,9,12,0.0
229620,11,9,13,0.0
233220,11,9,14,0.0
236820,11,9,15,0.0
240420,11,9,16,0.0
244020,11,9,17,0.0
247620,11,9,18,0.0
251220,11,9,19,60.0
254820,11,9,20,251.0
258420,11,9,21,0.0
262020,11,9,22,0.0
265620,11,9,23,0.0
269220,11,10,0,0.0
272820,11,10,1,0.0
276420,11,10,2,0.0
280020,11,10,3,0.0
283620,11,10,4,0.0
287220,11,10,5,0.0
290820,11,10,6,0.0
294420,11,10,7,60.0
298020,11,10,8,54.0
0,11,11,12,48.0
600,11,11,13,23.0
4200,11,11,14,0.0
7800,11,11,15,0.0
11400,11,11,16,0.0
15000,11,11,17,0.0
18600,11,11,18,0.0
22200,11,11,19,0.0
25800,11,11,20,47.0
29400,11,11,21,82.0
33000,11,11,22,12.0
36600,11,11,23,0.0
40200,11,12,0,0.0
43800,11,12,1,36.0
47400,11,12,2,0.0
51000,11,12,3,0.0
54600,11,12,4,0.0
58200,11,12,5,0.0
61800,11,12,6,0.0
65400,11,12,7,66.0
69000,11,12,8,178.0
72600,11,12,9,0.0
76200,11,12,10,0.0
79800,11,12,11,0.0
83400,11,12,12,0.0
87000,11,12,13,0.0
90600,11,12,14,0.0
94200,11,12,15,0.0
97800,11,12,16,116.0
101400,11,12,17,0.0
105000,11,12,18,15.0
108600,11,12,19,10.0
112200,11,12,20,7.0
115800,11,12,21,8.0
119400,11,12,22,0.0
123000,11,12,23,39.0
126600,11,13,0,0.0
130200,11,13,1,0.0
133800,11,13,2,0.0
137400,11,13,3,0.0
141000,11,13,4,0.0
144600,11,13,5,0.0
148200,11,13,6,0.0
151800,11,13,7,83.0
155400,11,13,8,0.0
159000,11,13,9,40.0
162600,11,13,10,0.0
166200,11,13,11,34.0
169800,11,13,12,117.0
173400,11,13,13,16.0
177000,11,13,14,0.0
180600,11,13,15,0.0
184200,11,13,16,0.0
187800,11,13,17,30.0
191400,11,13,18,55.0
195000,11,13,19,15.0
198600,11,13,20,52.0
202200,11,13,21,25.0
205800,11,13,22,79.0
209400,11,13,23,25.0
213000,11,14,0,85.0
216600,11,14,1,0.0
220200,11,14,2,0.0
223800,11,14,3,0.0
227400,11,14,4,0.0
231000,11,14,5,0.0
234600,11,14,6,0.0
