,month,day,hour,weekday,avg_hrly_temp
0,10,23,8,2,22.799999999999997
2,10,23,9,2,22.0
4,10,23,10,2,21.75
6,10,23,11,2,21.6
8,10,23,12,2,21.55
10,10,23,13,2,21.45
12,10,23,14,2,21.35
14,10,23,15,2,21.25
16,10,23,16,2,21.2
18,10,23,17,2,21.1
20,10,23,18,2,21.05
22,10,23,19,2,20.95
24,10,23,20,2,20.75
26,10,23,21,2,20.75
28,10,23,22,2,20.75
30,10,23,23,2,21.05
32,10,24,0,3,21.3
34,10,24,1,3,21.45
36,10,24,2,3,21.55
38,10,24,3,3,21.5
40,10,24,4,3,21.6
42,10,24,5,3,21.55
44,10,24,6,3,21.45
46,10,24,7,3,21.45
48,10,24,8,3,21.25
50,10,24,9,3,20.95
52,10,24,10,3,20.700000000000003
54,10,24,11,3,20.45
56,10,24,12,3,20.3
58,10,24,13,3,20.2
60,10,24,14,3,20.2
62,10,24,15,3,20.15
64,10,24,16,3,20.2
66,10,24,17,3,20.2
68,10,24,18,3,20.2
70,10,24,19,3,20.1
72,10,24,20,3,20.1
73,10,29,22,1,20.5
74,10,29,23,1,19.799999999999997
76,10,30,0,2,20.15
78,10,30,1,2,20.4
80,10,30,2,2,20.65
82,10,30,3,2,20.799999999999997
84,10,30,4,2,20.799999999999997
86,10,30,5,2,21.1
88,10,30,6,2,21.45
90,10,30,7,2,21.6
92,10,30,8,2,21.7
94,10,30,9,2,21.799999999999997
96,10,30,10,2,21.799999999999997
98,10,30,11,2,21.700000000000003
100,10,30,12,2,21.55
102,10,30,13,2,21.45
104,10,30,14,2,21.4
106,10,30,15,2,21.45
108,10,30,16,2,21.3
110,10,30,17,2,21.2
112,10,30,18,2,21.2
114,10,30,19,2,21.15
116,10,30,20,2,21.1
118,10,30,21,2,21.0
120,10,30,22,2,21.25
122,10,30,23,2,21.65
124,10,31,0,3,21.85
126,10,31,1,3,21.95
128,10,31,2,3,22.0
130,10,31,3,3,22.1
132,10,31,4,3,22.2
134,10,31,5,3,22.3
136,10,31,6,3,22.35
138,10,31,7,3,22.45
140,10,31,8,3,22.5
142,10,31,9,3,22.35
144,10,31,10,3,22.2
146,10,31,11,3,22.05
148,10,31,12,3,22.05
150,10,31,13,3,22.0
152,10,31,14,3,22.0
154,10,31,15,3,22.0
156,10,31,16,3,22.05
158,10,31,17,3,22.0
160,10,31,18,3,22.05
162,10,31,19,3,22.1
164,10,31,20,3,22.15
166,10,31,21,3,22.15
168,10,31,22,3,22.3
170,10,31,23,3,22.4
172,11,1,0,4,22.5
174,11,1,1,4,22.5
176,11,1,2,4,22.5
178,11,1,3,4,22.5
180,11,1,4,4,22.55
182,11,1,5,4,22.5
184,11,1,6,4,22.35
186,11,1,7,4,22.2
188,11,1,8,4,21.95
190,11,1,9,4,21.65
192,11,1,10,4,21.5
194,11,1,11,4,21.15
196,11,1,12,4,20.9
198,11,1,13,4,20.799999999999997
200,11,1,14,4,20.5
202,11,1,15,4,20.3
204,11,1,16,4,20.15
206,11,1,17,4,19.799999999999997
208,11,1,18,4,19.55
210,11,1,19,4,19.35
212,11,1,20,4,19.15
214,11,1,21,4,18.85
216,11,1,22,4,18.85
218,11,1,23,4,19.1
220,11,2,0,5,19.1
222,11,2,1,5,19.15
224,11,2,2,5,19.1
226,11,2,3,5,19.0
228,11,2,4,5,19.0
230,11,2,5,5,18.95
232,11,2,6,5,18.8
234,11,2,7,5,18.75
236,11,2,8,5,18.55
238,11,2,9,5,18.4
240,11,2,10,5,18.0
242,11,2,11,5,17.65
244,11,2,12,5,17.45
246,11,2,13,5,17.35
248,11,2,14,5,17.25
250,11,2,15,5,17.450000000000003
252,11,2,16,5,17.65
254,11,2,17,5,18.049999999999997
256,11,2,18,5,18.4
258,11,2,19,5,18.299999999999997
260,11,2,20,5,18.05
262,11,2,21,5,17.9
264,11,2,22,5,18.2
266,11,2,23,5,18.3
268,11,3,0,6,18.4
269,11,3,9,6,19.8
270,11,3,10,6,18.9
272,11,3,11,6,18.95
274,11,3,12,6,18.9
276,11,3,13,6,19.0
278,11,3,14,6,19.0
280,11,3,15,6,19.0
282,11,3,16,6,19.55
284,11,3,17,6,19.700000000000003
286,11,3,18,6,21.35
288,11,3,19,6,23.0
290,11,3,20,6,22.6
292,11,3,21,6,21.05
294,11,3,22,6,20.15
296,11,3,23,6,20.2
298,11,4,0,0,20.05
300,11,4,1,0,19.95
302,11,4,2,0,19.9
304,11,4,3,0,19.7
306,11,4,4,0,19.6
308,11,4,5,0,19.5
310,11,4,6,0,19.5
312,11,4,7,0,19.4
